Packet;Start Time;End Time;Data;End Delimiter;Valid;Packet Time
223;-80,07819126869072;-80,07650285202135;43889;LF;1;0,0016884166693671432
224;-80,06053926873528;-80,05884685206593;43888;LF;1;0,0016924166693570442
225;-80,04288326877986;-80,0411948521105;43888;LF;1;0,0016884166693671432
226;-80,02523126882443;-80,02353885215507;43888;LF;1;0,0016924166693570442
227;-80,007575268869;-80,00588685219964;43888;LF;1;0,0016884166693671432
228;-79,98992326891357;-79,98823085224421;43888;LF;1;0,0016924166693570442
229;-79,97226726895815;-79,97057885228878;43888;LF;1;0,0016884166693671432
230;-79,95461526900272;-79,95292285233336;43888;LF;1;0,0016924166693570442
231;-79,93695926904729;-79,93527085237793;43888;LF;1;0,0016884166693671432
232;-79,91930726909186;-79,9176148524225;43888;LF;1;0,0016924166693570442
233;-79,90165126913644;-79,89996285246707;43889;LF;1;0,0016884166693671432
234;-79,883999269181;-79,88230685251165;43889;LF;1;0,0016924166693570442
235;-79,86634326922558;-79,86465485255621;43889;LF;1;0,0016884166693671432
236;-79,84869126927015;-79,84699885260079;43888;LF;1;0,0016924166693570442
237;-79,83103526931473;-79,82934685264536;43889;LF;1;0,0016884166693671432
238;-79,81338326935929;-79,81169085268994;43889;LF;1;0,0016924166693570442
239;-79,79572726940387;-79,7940388527345;43888;LF;1;0,0016884166693671432
240;-79,77807526944844;-79,77638285277908;43888;LF;1;0,0016924166693570442
241;-79,76041926949301;-79,75873085282365;43889;LF;1;0,0016884166693671432
242;-79,74276726953758;-79,74107485286822;43889;LF;1;0,0016924166693570442
243;-79,72511126958216;-79,72342285291279;43889;LF;1;0,0016884166693671432
244;-79,70745926962672;-79,70577085295736;43889;LF;1;0,0016884166693671432
245;-79,68980726967129;-79,68811485300193;43889;LF;1;0,0016924166693570442
246;-79,67215126971587;-79,6704628530465;43889;LF;1;0,0016884166693671432
247;-79,65449926976044;-79,65280685309108;43889;LF;1;0,0016924166693570442
248;-79,63684326980501;-79,63515485313565;43889;LF;1;0,0016884166693671432
249;-79,61919126984958;-79,61749885318022;43889;LF;1;0,0016924166693570442
250;-79,60153526989416;-79,59984685322479;43888;LF;1;0,0016884166693671432
251;-79,58388326993872;-79,58219085326937;43888;LF;1;0,0016924166693570442
252;-79,5662272699833;-79,56453885331393;43889;LF;1;0,0016884166693671432
253;-79,54857527002787;-79,54688285335851;43889;LF;1;0,0016924166693570442
254;-79,53091927007245;-79,52923085340308;43889;LF;1;0,0016884166693671432
255;-79,51326727011701;-79,51157485344766;43888;LF;1;0,0016924166693570442
256;-79,49561127016159;-79,49392285349222;43888;LF;1;0,0016884166693671432
257;-79,47795927020616;-79,4762668535368;43889;LF;1;0,0016924166693570442
258;-79,46030327025073;-79,45861485358137;43889;LF;1;0,0016884166693671432
259;-79,4426512702953;-79,44095885362594;43888;LF;1;0,0016924166693570442
260;-79,42499527033988;-79,42330685367051;43889;LF;1;0,0016884166693671432
261;-79,40734327038444;-79,40565085371509;43889;LF;1;0,0016924166693570442
262;-79,38968727042902;-79,38799885375965;43888;LF;1;0,0016884166693671432
263;-79,37203527047359;-79,37034285380423;43889;LF;1;0,0016924166693570442
264;-79,35437927051817;-79,3526908538488;43889;LF;1;0,0016884166693671432
265;-79,33672727056273;-79,33503885389337;43888;LF;1;0,0016884166693671432
266;-79,3190752706073;-79,31738285393794;43889;LF;1;0,0016924166693570442
267;-79,30141927065188;-79,29973085398251;43889;LF;1;0,0016884166693671432
268;-79,28376727069644;-79,28207485402709;43889;LF;1;0,0016924166693570442
269;-79,26611127074102;-79,26442285407165;43889;LF;1;0,0016884166693671432
270;-79,24845927078559;-79,24676685411623;43888;LF;1;0,0016924166693570442
271;-79,23080327083017;-79,2291148541608;43888;LF;1;0,0016884166693671432
272;-79,21315127087473;-79,21145885420538;43889;LF;1;0,0016924166693570442
273;-79,19549527091931;-79,19380685424994;43889;LF;1;0,0016884166693671432
274;-79,17784327096388;-79,17615085429452;43889;LF;1;0,0016924166693570442
275;-79,16018727100845;-79,15849885433909;43889;LF;1;0,0016884166693671432
276;-79,14253527105302;-79,14084285438366;43889;LF;1;0,0016924166693570442
277;-79,1248792710976;-79,12319085442823;43888;LF;1;0,0016884166693671432
278;-79,10722727114216;-79,10553485447281;43888;LF;1;0,0016924166693570442
279;-79,08957127118674;-79,08788285451737;43888;LF;1;0,0016884166693671432
280;-79,07191927123131;-79,07022685456195;43888;LF;1;0,0016924166693570442
281;-79,05426327127589;-79,05257485460652;43889;LF;1;0,0016884166693671432
282;-79,03661127132045;-79,0349188546511;43889;LF;1;0,0016924166693570442
283;-79,01895527136503;-79,01726685469566;43889;LF;1;0,0016884166693671432
284;-79,0013032714096;-78,99961085474024;43888;LF;1;0,0016924166693570442
285;-78,98364727145417;-78,9819588547848;43888;LF;1;0,0016884166693671432
286;-78,96599527149874;-78,96430685482937;43888;LF;1;0,0016884166693671432
287;-78,94834327154331;-78,94665085487395;43889;LF;1;0,0016924166693570442
288;-78,93068727158789;-78,92899885491852;43888;LF;1;0,0016884166693671432
289;-78,91303527163245;-78,9113428549631;43888;LF;1;0,0016924166693570442
290;-78,89537927167703;-78,89369085500766;43888;LF;1;0,0016884166693671432
291;-78,8777272717216;-78,87603485505224;43888;LF;1;0,0016924166693570442
292;-78,86007127176617;-78,8583828550968;43888;LF;1;0,0016884166693671432
293;-78,84241927181074;-78,84072685514138;43888;LF;1;0,0016924166693570442
294;-78,82476327185532;-78,82307485518595;43888;LF;1;0,0016884166693671432
295;-78,80711127189988;-78,80541885523053;43889;LF;1;0,0016924166693570442
296;-78,78945527194446;-78,7877668552751;43888;LF;1;0,0016884166693671432
297;-78,77180327198903;-78,77011085531967;43888;LF;1;0,0016924166693570442
298;-78,7541472720336;-78,75245885536424;43888;LF;1;0,0016884166693671432
299;-78,73649527207817;-78,73480285540882;43888;LF;1;0,0016924166693570442
300;-78,71883927212275;-78,71715085545338;43888;LF;1;0,0016884166693671432
301;-78,70118727216732;-78,69949485549796;43888;LF;1;0,0016924166693570442
302;-78,6835312722119;-78,68184285554253;43888;LF;1;0,0016884166693671432
303;-78,66587927225646;-78,6641868555871;43889;LF;1;0,0016924166693570442
304;-78,64822327230104;-78,64653485563167;43888;LF;1;0,0016884166693671432
305;-78,6305712723456;-78,62887885567625;43889;LF;1;0,0016924166693570442
306;-78,61291527239018;-78,61122685572082;43888;LF;1;0,0016884166693671432
307;-78,59526327243475;-78,59357485576538;43888;LF;1;0,0016884166693671432
308;-78,57761127247932;-78,57591885580996;43888;LF;1;0,0016924166693570442
309;-78,5599552725239;-78,55826685585453;43888;LF;1;0,0016884166693671432
310;-78,54230327256846;-78,5406108558991;43889;LF;1;0,0016924166693570442
311;-78,52464727261304;-78,52295885594367;43888;LF;1;0,0016884166693671432
312;-78,5069952726576;-78,50530285598825;43888;LF;1;0,0016924166693570442
313;-78,48933927270218;-78,48765085603281;43888;LF;1;0,0016884166693671432
314;-78,47168727274675;-78,46999485607739;43888;LF;1;0,0016924166693570442
315;-78,45403127279133;-78,45234285612196;43888;LF;1;0,0016884166693671432
316;-78,4363792728359;-78,43468685616654;43889;LF;1;0,0016924166693570442
317;-78,41872327288047;-78,4170348562111;43889;LF;1;0,0016884166693671432
318;-78,40107127292504;-78,39937885625568;43888;LF;1;0,0016924166693570442
319;-78,38341527296961;-78,38172685630025;43888;LF;1;0,0016884166693671432
320;-78,36576327301418;-78,36407085634482;43889;LF;1;0,0016924166693570442
321;-78,34810727305876;-78,34641885638939;43889;LF;1;0,0016884166693671432
322;-78,33045527310333;-78,32876285643397;43889;LF;1;0,0016924166693570442
323;-78,3127992731479;-78,31111085647854;43889;LF;1;0,0016884166693671432
324;-78,29514727319247;-78,29345485652311;43889;LF;1;0,0016924166693570442
325;-78,27749127323705;-78,27580285656768;43889;LF;1;0,0016884166693671432
326;-78,25983927328161;-78,25814685661226;43888;LF;1;0,0016924166693570442
327;-78,24218327332619;-78,24049485665682;43888;LF;1;0,0016884166693671432
328;-78,22453127337076;-78,2228388567014;43889;LF;1;0,0016924166693570442
329;-78,20687927341532;-78,20518685674597;43888;LF;1;0,0016924166693570442
330;-78,1892232734599;-78,18753485679053;43889;LF;1;0,0016884166693671432
331;-78,17157127350447;-78,16987885683511;43889;LF;1;0,0016924166693570442
332;-78,15391527354905;-78,15222685687968;43888;LF;1;0,0016884166693671432
333;-78,13626327359361;-78,13457085692426;43888;LF;1;0,0016924166693570442
334;-78,11860727363819;-78,11691885696882;43888;LF;1;0,0016884166693671432
335;-78,10095527368276;-78,0992628570134;43888;LF;1;0,0016924166693570442
336;-78,08329927372733;-78,08161085705797;43888;LF;1;0,0016884166693671432
337;-78,0656472737719;-78,06395485710254;43888;LF;1;0,0016924166693570442
338;-78,04799127381648;-78,04630285714711;43888;LF;1;0,0016884166693671432
339;-78,03033927386105;-78,02864685719169;43888;LF;1;0,0016924166693570442
340;-78,01268327390562;-78,01099485723626;43888;LF;1;0,0016884166693671432
341;-77,99503127395019;-77,99333885728083;43888;LF;1;0,0016924166693570442
342;-77,97737527399477;-77,9756868573254;43888;LF;1;0,0016884166693671432
343;-77,95972327403933;-77,95803085736998;43888;LF;1;0,0016924166693570442
344;-77,94206727408391;-77,94037885741454;43888;LF;1;0,0016884166693671432
345;-77,92441527412848;-77,92272285745912;43889;LF;1;0,0016924166693570442
346;-77,90675927417306;-77,90507085750369;43889;LF;1;0,0016884166693671432
347;-77,88910727421762;-77,88741485754826;43889;LF;1;0,0016924166693570442
348;-77,8714512742622;-77,86976285759283;43889;LF;1;0,0016884166693671432
349;-77,85379927430677;-77,85210685763741;43889;LF;1;0,0016924166693570442
350;-77,83614727435133;-77,83445485768198;43889;LF;1;0,0016924166693570442
351;-77,81849127439591;-77,81680285772654;43888;LF;1;0,0016884166693671432
352;-77,80083927444048;-77,79914685777112;43889;LF;1;0,0016924166693570442
353;-77,78318327448505;-77,78149485781569;43889;LF;1;0,0016884166693671432
354;-77,76553127452962;-77,76383885786026;43889;LF;1;0,0016924166693570442
355;-77,7478752745742;-77,74618685790483;43889;LF;1;0,0016884166693671432
356;-77,73022327461877;-77,72853085794941;43889;LF;1;0,0016924166693570442
357;-77,71256727466334;-77,71087885799398;43889;LF;1;0,0016884166693671432
358;-77,69491527470791;-77,69322285803855;43888;LF;1;0,0016924166693570442
359;-77,67725927475249;-77,67557085808312;43888;LF;1;0,0016884166693671432
360;-77,65960727479705;-77,6579148581277;43888;LF;1;0,0016924166693570442
361;-77,64195127484163;-77,64026285817226;43888;LF;1;0,0016884166693671432
362;-77,6242992748862;-77,62260685821684;43888;LF;1;0,0016924166693570442
363;-77,60664327493078;-77,60495485826141;43889;LF;1;0,0016884166693671432
364;-77,58899127497534;-77,58729885830599;43888;LF;1;0,0016924166693570442
